"IP", "Score"
50.90.45.121, 5
50.90.45.121, 11
54.85.182.120, 
50.90.45.121, 7
107.147.31.150, 5
107.147.31.150, 3
107.147.31.150, 3
50.90.45.121, 10
174.231.13.109, 0
107.147.31.150, 
107.77.111.107, 2
166.137.14.127, 0
174.231.13.109, 3
107.147.31.150, 
107.147.31.150, 3
107.77.111.107, 3
107.147.31.150, 1
107.147.31.150, 3
107.147.31.150, 1
107.147.31.150, 2
107.147.31.150, 11
107.147.31.150, 6
107.147.31.150, 12
107.147.31.150, 6
107.147.31.150, 8
107.147.31.150, 3
107.147.31.150, 
50.90.45.121, 6
50.90.18.155, 1
50.90.45.121, 12
54.85.182.120, 
107.141.234.118, 
107.147.31.150, 
107.141.234.118, 
107.141.234.118, 
107.141.234.118, 
50.90.45.121, 9
107.141.234.118, 
50.90.45.121, 9
75.27.28.71, 0
75.27.28.71, 0
50.90.45.121, 4
107.141.234.118, 
107.77.85.49, 0
